127.0.0.1 - - [10/Oct/2023:13:55:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Oct/2023:13:55:45 +0900] "GET /jspbook/ch04/datetime.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [10/Oct/2023:13:55:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Oct/2023:13:55:57 +0900] "GET /jspbook/ch04/datetime.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [10/Oct/2023:13:55:58 +0900] "GET /jspbook/ch04/datetime.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [10/Oct/2023:13:55:58 +0900] "GET /jspbook/ch04/datetime.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [10/Oct/2023:13:55:59 +0900] "GET /jspbook/ch04/datetime.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [10/Oct/2023:13:55:59 +0900] "GET /jspbook/ch04/datetime.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [10/Oct/2023:13:56:00 +0900] "GET /jspbook/ch04/datetime.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [10/Oct/2023:13:56:03 +0900] "GET /jspbook/ch04/datetime.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [10/Oct/2023:14:18:40 +0900] "GET /jspbook/ch04/error_test.jsp HTTP/1.1" 500 433
0:0:0:0:0:0:0:1 - - [10/Oct/2023:14:27:14 +0900] "GET /jspbook/ch04/include_test.jsp HTTP/1.1" 200 995
